participantID,trialNumber,response,correctness,startTimestamp,endTimestamp,reactionTime,sampleNumber,sampleOrder,sampleTime,comparisonTime,condition
2,32,right,True,2024-06-24 13:53:04.162,2024-06-24 13:53:23.809,19.647,20,right,12000,24000,V
2,33,right,True,2024-06-24 13:53:45.879,2024-06-24 13:54:08.225,22.346,6,right,12000,24000,V
2,34,right,False,2024-06-24 13:54:30.279,2024-06-24 13:54:51.492,21.213,22,left,12000,24000,V
2,35,left,True,2024-06-24 13:55:13.546,2024-06-24 13:55:37.359,23.813,74,left,12000,24000,V
2,36,left,False,2024-06-24 13:55:59.411,2024-06-24 13:56:07.609,8.198,54,right,12000,24000,V
2,37,right,False,2024-06-24 13:56:29.680,2024-06-24 13:56:49.209,19.529,21,left,12000,24000,VH
2,38,right,False,2024-06-24 13:57:11.281,2024-06-24 13:57:22.176,10.895,47,left,12000,24000,VH
2,39,left,False,2024-06-24 13:57:44.264,2024-06-24 13:57:54.009,9.745,79,right,12000,24000,VH
2,40,left,True,2024-06-24 13:58:16.078,2024-06-24 13:58:29.492,13.414,69,left,12000,24000,VH
2,41,right,False,2024-06-24 13:58:51.580,2024-06-24 13:59:18.742,27.162,75,left,12000,24000,VH
2,42,right,True,2024-06-24 13:59:40.829,2024-06-24 14:00:02.709,21.88,87,right,12000,24000,VH
2,43,left,True,2024-06-24 14:00:24.797,2024-06-24 14:00:38.692,13.895,23,left,12000,24000,VH
2,44,left,True,2024-06-24 14:01:00.764,2024-06-24 14:01:18.309,17.545,83,left,12000,24000,VH
2,45,right,True,2024-06-24 14:01:40.379,2024-06-24 14:01:51.909,11.53,77,right,12000,24000,VH
2,46,left,True,2024-06-24 14:02:13.980,2024-06-24 14:02:36.343,22.363,55,left,12000,24000,VH
2,47,left,True,2024-06-24 14:02:58.414,2024-06-24 14:03:14.959,16.545,7,left,12000,24000,VH
2,48,right,True,2024-06-24 14:03:37.031,2024-06-24 14:04:00.593,23.562,13,right,12000,24000,VH
2,49,left,True,2024-06-24 14:08:26.332,2024-06-24 14:08:34.027,7.695,33,left,12000,24000,VH
2,50,right,True,2024-06-24 14:08:56.113,2024-06-24 14:09:18.510,22.397,11,right,12000,24000,VH
2,51,right,False,2024-06-24 14:09:40.596,2024-06-24 14:09:50.843,10.247,65,left,12000,24000,VH
2,52,right,True,2024-06-24 14:10:12.931,2024-06-24 14:10:39.276,26.345,9,right,12000,24000,VH
2,53,left,True,2024-06-24 14:11:01.365,2024-06-24 14:11:06.643,5.278,5,left,12000,24000,VH
2,54,right,False,2024-06-24 14:11:28.732,2024-06-24 14:11:51.793,23.061,29,left,12000,24000,VH
2,55,left,False,2024-06-24 14:12:13.864,2024-06-24 14:12:33.627,19.763,63,right,12000,24000,VH
2,56,right,True,2024-06-24 14:12:55.714,2024-06-24 14:13:08.610,12.896,51,right,12000,24000,VH
2,57,left,True,2024-06-24 14:13:30.698,2024-06-24 14:13:52.860,22.162,91,left,12000,24000,VH
2,58,right,True,2024-06-24 14:14:14.931,2024-06-24 14:14:34.377,19.446,71,right,12000,24000,VH
2,59,right,True,2024-06-24 14:14:56.464,2024-06-24 14:15:20.227,23.763,95,right,12000,24000,VH
2,60,left,True,2024-06-24 14:15:42.314,2024-06-24 14:15:47.327,5.013,59,left,12000,24000,VH
2,61,right,True,2024-06-24 14:16:09.397,2024-06-24 14:16:27.527,18.13,60,right,12000,24000,V
2,62,left,False,2024-06-24 14:16:49.597,2024-06-24 14:17:10.094,20.497,52,right,12000,24000,V
2,63,left,True,2024-06-24 14:17:32.168,2024-06-24 14:17:57.044,24.876,46,left,12000,24000,V
